<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
16/05/23;000000;232.4;232.86;229.57;230.62;36429340
17/05/23;000000;229.86;230.97;228.75;230.55;31635370
18/05/23;000000;231.72;234.49;230.72;231.7;55909060
19/05/23;000000;230.98;232.3;229.81;231.27;31540330
22/05/23;000000;232.2;232.78;230;231;26351890
23/05/23;000000;231.24;237.29;230.21;236.43;62996030
24/05/23;000000;237.49;246.13;236.26;246.06;85850770
25/05/23;000000;246.11;247.4;242.65;243.76;70582820
26/05/23;000000;243.49;249.64;242.81;248.1;69113640
29/05/23;000000;249.77;252.59;248.85;251.18;67591330
30/05/23;000000;248.84;250.85;243.8;244.65;82871290
31/05/23;000000;244;247.18;240.27;246.17;72797140
01/06/23;000000;247;247;240.57;241.66;51897410
02/06/23;000000;242.01;245.5;240.77;243.95;46465000
05/06/23;000000;243.51;244.15;235.1;237.12;78650640
06/06/23;000000;236;242.1;232.54;240.91;100337100
07/06/23;000000;241.23;244.39;238.56;241.25;63082450
08/06/23;000000;241.3;242.78;239.55;241.77;29851820
09/06/23;000000;242.79;243;240.11;240.4;27458600
13/06/23;000000;241.51;244.5;240.63;244.33;40478120
14/06/23;000000;245.7;247.68;242.8;244.6;51810860
15/06/23;000000;245.12;245.94;243.22;245.18;40015310
16/06/23;000000;245.5;245.9;243.7;243.87;23311220
19/06/23;000000;244.46;244.69;241.32;242.28;29777860
20/06/23;000000;241.95;242.22;238.82;241.74;36578050
21/06/23;000000;241.9;243.92;240.6;242.2;26644780
22/06/23;000000;242.1;242.8;240.13;240.66;23093570
23/06/23;000000;239.96;240.99;234.34;235.67;61661860
26/06/23;000000;239.6;240.5;233.4;238.4;81032100
27/06/23;000000;239.02;242.34;236.8;241.21;51321260
28/06/23;000000;241.8;241.8;238.6;239.67;28217550
29/06/23;000000;239.75;241.26;239.02;239.99;28077670
30/06/23;000000;240;240.68;238.36;239.61;24011230
03/07/23;000000;240;244.56;239.15;243.33;47207170
04/07/23;000000;243.45;243.78;240.61;240.7;41487820
05/07/23;000000;241.48;241.9;240.24;240.95;19841190
06/07/23;000000;241.45;242.47;240.71;240.96;23175870
07/07/23;000000;241.2;243.75;240.7;243.67;30201090
10/07/23;000000;244.22;249.45;244.2;249.4;64946220
11/07/23;000000;250.02;250.2;246.51;247.99;49073930
12/07/23;000000;248.39;249.2;246.1;247.52;39166310
13/07/23;000000;247.96;248.15;245.34;246.19;29474970
14/07/23;000000;246.3;247.05;244.51;246.45;25576610
17/07/23;000000;244.76;246.2;243.6;245.39;35730950
18/07/23;000000;245.6;247.5;245.26;246.77;35911790
19/07/23;000000;247.21;248.1;245;245.85;31394740
20/07/23;000000;246.25;246.25;242.15;242.7;35960520
21/07/23;000000;243.17;244.53;241.7;244.13;32120690
24/07/23;000000;243.99;245.85;243.52;244.87;19681330
25/07/23;000000;245.37;247.77;244.81;247.2;39683790
26/07/23;000000;247.22;248.33;245.9;247.05;26031980
27/07/23;000000;247.51;249.3;247.24;247.95;39756100
28/07/23;000000;247.99;249.45;246.67;249.25;35742280
